Designator,Mid X,Mid Y,Rotation,Layer
C1,44.5,-72.975001,270.0,top
C2,54.5,-69.5,270.0,top
J1,14.5,-21.18,180.0,bottom
J2,60.5,-20.875,180.0,bottom
J3,34.96,-73.5,0.0,top
J4,37.5,-37.97,0.0,top
Q1,23.0625,-15.0,180.0,top
Q10,18.0,-44.0,90.0,top
Q11,22.0,-46.5,0.0,top
Q12,23.0,-51.0,180.0,top
Q13,18.0,-52.9275,90.0,top
Q14,22.0,-55.5,0.0,top
Q15,23.0,-60.0,180.0,top
Q16,18.05,-62.0625,90.0,top
Q17,52.0,-60.0,0.0,top
Q18,53.0,-55.5,180.0,top
Q19,52.0,-51.0,0.0,top
Q2,22.0625,-19.45,0.0,top
Q20,53.0,-46.5,180.0,top
Q21,52.0,-42.0,0.0,top
Q22,53.0,-37.5,180.0,top
Q23,52.0,-33.0,0.0,top
Q24,52.0,-24.0,0.0,top
Q25,53.0625,-19.55,180.0,top
Q26,52.0,-15.0,0.0,top
Q3,23.0625,-23.95,180.0,top
Q4,18.0,-25.9375,90.0,top
Q5,22.0,-28.5,0.0,top
Q6,23.0,-33.0,180.0,top
Q7,18.0,-35.0,90.0,top
Q8,22.0,-37.5,0.0,top
Q9,23.0625,-42.05,180.0,top
R1,21.0625,-16.45,180.0,top
R10,23.9375,-30.0,0.0,top
R11,21.0625,-34.5,180.0,top
R12,21.0625,-31.5,180.0,top
R13,18.0,-31.5,0.0,top
R14,18.0,-38.5,180.0,top
R15,23.9375,-36.17,0.0,top
R16,23.9375,-39.0,0.0,top
R17,21.125,-43.455,180.0,top
R18,21.125,-40.455,180.0,top
R19,18.0,-41.0,0.0,top
R2,21.0625,-13.45,180.0,top
R20,18.0,-47.5,180.0,top
R21,24.0,-45.0,0.0,top
R22,24.0,-48.0,0.0,top
R23,21.0625,-52.5,180.0,top
R24,21.0625,-49.5,180.0,top
R25,18.0,-49.5,0.0,top
R26,18.0,-56.5,180.0,top
R27,23.9375,-54.0,0.0,top
R28,23.9375,-57.0,0.0,top
R29,21.0625,-61.5,180.0,top
R3,24.0,-17.95,0.0,top
R30,21.0625,-58.51,180.0,top
R31,18.0,-58.5,0.0,top
R32,18.0,-65.5,180.0,top
R33,54.0,-58.5,0.0,top
R34,54.0,-61.5,0.0,top
R35,51.0,-57.0,180.0,top
R36,51.0,-54.0,180.0,top
R37,53.9375,-49.5,0.0,top
R38,53.9375,-52.5,0.0,top
R39,51.0,-48.0,180.0,top
R4,24.0,-20.95,0.0,top
R40,51.0,-45.0,180.0,top
R41,54.0,-40.5,0.0,top
R42,53.99,-43.5,0.0,top
R43,51.0,-39.0,180.0,top
R44,51.0,-36.0,180.0,top
R45,54.0,-31.5,0.0,top
R46,54.0,-34.5,0.0,top
R47,53.9375,-22.5,0.0,top
R48,53.9375,-25.5,0.0,top
R49,51.0625,-21.05,180.0,top
R5,21.125,-25.45,180.0,top
R50,51.0525,-18.05,180.0,top
R51,54.0,-13.5,0.0,top
R52,54.0,-16.5,0.0,top
R6,21.125,-22.46,180.0,top
R7,18.0,-22.5,0.0,top
R8,18.0,-29.5,180.0,top
R9,23.9475,-27.0,0.0,top
U2,49.5,-72.5,270.0,top
